step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,dew_d1,dew_d2,dew_d4,dew_d8,dew_d16,dew_d32,dew_d64,dew_d128
360,90,4.5000002e-4,2.906592,18.2943,854.93,0.5259,0.097701,0.057616,14.874338,0.059518,0.049648,0.052552,0.048911,0.049296,0.052738,0.056426,0.073680
370,92,4.6000004e-4,2.848295,17.2583,959.18,0.5021,0.098031,0.056339,14.620020,0.049990,0.051633,0.051422,0.049557,0.050910,0.052507,0.054768,0.075517
380,95,4.75e-4,2.866915,17.5827,902.75,0.5055,0.099592,0.056679,15.054484,0.055763,0.048856,0.049860,0.052176,0.052473,0.051395,0.054092,0.077107
390,97,4.8500003e-4,2.827960,16.9109,831.90,0.5119,0.099155,0.056013,14.640936,0.048433,0.051678,0.046591,0.048279,0.051644,0.050742,0.053495,0.081103
400,100,5e-4,2.770969,15.9741,851.63,0.5176,0.101259,0.055311,14.424133,0.044874,0.052213,0.055831,0.049527,0.049467,0.050468,0.053804,0.070863
410,102,5e-4,2.799288,16.4329,727.01,0.5100,0.103231,0.056715,14.722369,0.067820,0.050949,0.052975,0.047537,0.050791,0.051125,0.054096,0.071587
420,105,5e-4,2.777601,16.0804,853.44,0.5270,0.104633,0.056559,14.293689,0.047690,0.058382,0.052184,0.049053,0.051451,0.053383,0.056697,0.065891
430,107,5e-4,2.699268,14.8688,706.88,0.5163,0.103858,0.056835,13.707341,0.049625,0.048163,0.049038,0.049876,0.050450,0.049968,0.057405,0.077888
440,110,5e-4,2.690634,14.7410,692.23,0.5461,0.105964,0.055822,13.708849,0.046208,0.051102,0.045604,0.050427,0.050952,0.049889,0.054626,0.075737
450,112,5e-4,2.726157,15.2741,904.78,0.4906,0.113251,0.058706,14.322905,0.052938,0.046046,0.049654,0.049308,0.054704,0.053986,0.055476,0.068852
460,115,5e-4,2.652122,14.1841,840.12,0.5230,0.113330,0.057288,14.096588,0.043875,0.051867,0.052375,0.054970,0.051225,0.053501,0.054143,0.072125
470,117,5e-4,2.656360,14.2443,938.69,0.4874,0.115292,0.057779,13.772558,0.054740,0.062281,0.055583,0.053052,0.054039,0.054494,0.055734,0.066042
480,120,5e-4,2.626667,13.8276,712.45,0.5518,0.117402,0.058769,13.517586,0.051658,0.054095,0.057037,0.055338,0.055963,0.053658,0.057703,0.081413
490,122,5e-4,2.581377,13.2153,714.25,0.5265,0.121517,0.061720,13.311473,0.061076,0.058858,0.058201,0.055809,0.055410,0.055062,0.060604,0.089308
500,125,5e-4,2.613104,13.6413,852.73,0.5006,0.128974,0.062671,13.864957,0.060620,0.052505,0.061292,0.054318,0.056811,0.058634,0.059209,0.071310
510,127,5e-4,2.585137,13.2651,746.19,0.5031,0.129454,0.062648,13.379587,0.049682,0.058839,0.061754,0.060056,0.057790,0.059264,0.061744,0.068983
520,130,5e-4,2.522001,12.4535,991.04,0.5167,0.128953,0.062371,12.784345,0.059026,0.051414,0.056439,0.055593,0.059793,0.059091,0.060965,0.074394
530,132,5e-4,2.480250,11.9442,863.66,0.5093,0.132978,0.065019,12.609644,0.079350,0.067384,0.061141,0.060482,0.060138,0.062779,0.062199,0.083681
540,135,5e-4,2.501034,12.1951,744.02,0.5221,0.143084,0.068910,13.229645,0.067976,0.066292,0.057114,0.061740,0.066578,0.067274,0.066813,0.083513
550,137,5e-4,2.441517,11.4905,741.95,0.4805,0.143581,0.067271,12.771853,0.070054,0.058233,0.057258,0.067325,0.064225,0.062462,0.064455,0.077413
560,140,5e-4,2.457309,11.6734,763.70,0.5283,0.152301,0.072455,12.750429,0.054736,0.067458,0.071543,0.067591,0.070615,0.069891,0.070669,0.085758
570,142,5e-4,2.406098,11.0906,983.58,0.4724,0.158165,0.073817,12.723013,0.058805,0.082002,0.066738,0.070194,0.070675,0.070545,0.072248,0.084592
580,145,5e-4,2.356152,10.5503,800.48,0.5317,0.159236,0.073028,12.184198,0.071241,0.075985,0.070629,0.071527,0.067887,0.070274,0.071172,0.085039
590,147,5e-4,2.363071,10.6235,685.11,0.4994,0.167768,0.076823,12.582461,0.081140,0.075217,0.070121,0.071939,0.072308,0.073379,0.075596,0.088197
600,150,5e-4,2.319354,10.1691,761.22,0.5329,0.172381,0.078767,12.103012,0.083527,0.076135,0.084088,0.072898,0.069675,0.073048,0.075485,0.101522
610,152,5e-4,2.353639,10.5238,718.59,0.5154,0.182309,0.084755,12.211282,0.077638,0.081739,0.078126,0.077615,0.076910,0.081755,0.081773,0.102459
620,155,5e-4,2.294980,9.9242,773.27,0.5203,0.186744,0.086160,11.965510,0.099472,0.091561,0.083677,0.090670,0.079393,0.078633,0.084082,0.097904
630,157,5e-4,2.291016,9.8850,847.11,0.4976,0.192766,0.086825,11.747813,0.096754,0.076864,0.082027,0.082573,0.083741,0.079522,0.083253,0.099416
640,160,5e-4,2.267137,9.6517,924.80,0.5030,0.199220,0.090346,11.604895,0.076275,0.097703,0.084307,0.086352,0.080696,0.086230,0.089513,0.110122
650,162,5e-4,2.250766,9.4950,681.88,0.5040,0.207482,0.092390,11.767416,0.092187,0.093168,0.094587,0.081868,0.080256,0.089320,0.090214,0.113941
660,165,5e-4,2.243134,9.4228,964.05,0.5083,0.219397,0.095059,11.854893,0.108138,0.092582,0.099448,0.088628,0.090820,0.088992,0.094239,0.102167
670,167,5e-4,2.193002,8.9621,875.45,0.4812,0.216732,0.094783,11.313671,0.082408,0.109847,0.083540,0.084279,0.090035,0.088082,0.092362,0.107437
680,170,5e-4,2.238039,9.3749,880.94,0.5012,0.226354,0.097966,11.396464,0.089322,0.094399,0.087852,0.082347,0.092972,0.090040,0.097279,0.107105
690,172,5e-4,2.153685,8.6165,701.14,0.5077,0.230906,0.098858,11.096682,0.083085,0.102551,0.081485,0.092416,0.095671,0.091153,0.094737,0.119760
700,175,5e-4,2.123811,8.3629,879.66,0.5100,0.231284,0.099245,10.967737,0.077470,0.096909,0.095697,0.090550,0.092851,0.091055,0.101000,0.131658
710,177,5e-4,2.134852,8.4558,858.47,0.4600,0.245052,0.102337,11.295622,0.097451,0.097108,0.106906,0.088458,0.093753,0.099508,0.096049,0.117586
720,180,5e-4,2.076534,7.9768,715.24,0.5255,0.241261,0.101254,10.550921,0.091815,0.097016,0.094601,0.092990,0.089272,0.098975,0.100129,0.121021
730,182,5e-4,2.084712,8.0423,776.20,0.4994,0.253077,0.102495,11.014706,0.091188,0.118471,0.104432,0.090051,0.098591,0.093840,0.098860,0.116734
740,185,5e-4,2.028481,7.6025,917.52,0.5047,0.256365,0.102324,10.462545,0.145575,0.109668,0.091659,0.099455,0.092783,0.094946,0.100859,0.115578
750,187,5e-4,2.040153,7.6918,925.89,0.5042,0.266892,0.107292,10.492516,0.127338,0.098332,0.093000,0.099879,0.104904,0.099671,0.104089,0.122596
760,190,5e-4,2.039003,7.6829,798.09,0.5117,0.274456,0.109681,10.671843,0.083184,0.127023,0.097472,0.100033,0.097614,0.106305,0.105455,0.127722
770,192,5e-4,2.095370,8.1284,714.18,0.5147,0.295905,0.116729,11.189257,0.107087,0.113919,0.116659,0.111338,0.104095,0.113042,0.114870,0.132435
780,195,5e-4,1.972855,7.1912,864.87,0.4951,0.288346,0.110312,10.428798,0.094370,0.133393,0.119906,0.105423,0.101408,0.105286,0.106220,0.129380
790,197,5e-4,1.924147,6.8493,702.37,0.5093,0.286406,0.111410,9.985187,0.102313,0.094035,0.112921,0.097815,0.100708,0.105039,0.108858,0.143169
800,200,5e-4,2.031730,7.6273,768.81,0.5147,0.310818,0.118581,10.768662,0.148382,0.097202,0.107050,0.113915,0.112678,0.110261,0.112783,0.149688
810,202,5e-4,1.956150,7.0720,883.17,0.4942,0.304133,0.114221,10.170052,0.120034,0.119320,0.113340,0.108431,0.105933,0.109229,0.113365,0.126998
820,205,5e-4,1.880611,6.5575,850.89,0.5359,0.305823,0.113781,9.532753,0.102303,0.115259,0.111898,0.103347,0.106973,0.107043,0.114194,0.126873
830,207,5e-4,1.878066,6.5408,757.02,0.5171,0.313880,0.115869,9.727666,0.134003,0.103791,0.107379,0.109512,0.109915,0.107273,0.112010,0.138278
840,210,5e-4,1.848798,6.3522,634.63,0.5516,0.312482,0.115769,9.402369,0.115965,0.117331,0.113482,0.110669,0.102406,0.110535,0.117768,0.155494
850,212,5e-4,1.843889,6.3211,943.35,0.4949,0.321657,0.113865,9.396814,0.113675,0.106462,0.122267,0.107848,0.108601,0.112558,0.111406,0.120616
860,215,5e-4,1.881306,6.5621,805.80,0.5028,0.336704,0.119634,9.713457,0.111734,0.110004,0.110903,0.109147,0.119723,0.113807,0.112682,0.132945
870,217,5e-4,1.818258,6.1611,875.49,0.4785,0.324351,0.113793,9.327983,0.095362,0.125585,0.104639,0.105114,0.104265,0.110914,0.112465,0.121686
880,220,5e-4,1.887069,6.6000,742.23,0.5178,0.339959,0.120825,9.812006,0.107679,0.130211,0.115741,0.116375,0.118007,0.115624,0.117492,0.144184
890,222,5e-4,1.806395,6.0885,848.12,0.4856,0.344140,0.118163,9.307076,0.110193,0.119449,0.112241,0.120908,0.110717,0.114775,0.114043,0.126352
900,225,5e-4,1.821192,6.1792,811.14,0.5008,0.360568,0.123228,9.571920,0.101060,0.137702,0.134968,0.114519,0.120274,0.112955,0.122250,0.132999
910,227,5e-4,1.800656,6.0536,712.61,0.5117,0.361061,0.125516,9.327276,0.103329,0.111221,0.113401,0.117887,0.118384,0.117701,0.124576,0.170812
920,230,5e-4,1.828621,6.2253,901.25,0.5088,0.361777,0.123568,9.396130,0.108519,0.117645,0.116292,0.105050,0.109656,0.119073,0.122661,0.138623
930,232,5e-4,1.801091,6.0563,746.60,0.4895,0.366946,0.126522,9.273100,0.113543,0.123225,0.123441,0.116022,0.111979,0.119475,0.121645,0.149580
940,235,5e-4,1.781802,5.9406,729.73,0.5116,0.376359,0.125307,9.360829,0.146943,0.140127,0.112542,0.116663,0.119533,0.117881,0.123226,0.148200
950,237,5e-4,1.726036,5.6183,710.53,0.5102,0.380999,0.128085,8.902850,0.144652,0.123056,0.134581,0.114046,0.120130,0.127143,0.125556,0.147106
960,240,5e-4,1.690636,5.4229,729.68,0.5254,0.378201,0.125247,8.661971,0.104749,0.121364,0.118505,0.122145,0.123106,0.115610,0.122315,0.153894
970,242,5e-4,1.756423,5.7917,721.97,0.5025,0.387456,0.127469,9.177067,0.107920,0.134877,0.115269,0.114753,0.121086,0.118558,0.125005,0.149555
980,245,5e-4,1.759129,5.8074,770.13,0.5138,0.396528,0.128185,9.303044,0.138857,0.125584,0.120336,0.122481,0.119014,0.124017,0.127855,0.135327
990,247,5e-4,1.723911,5.6064,719.42,0.5077,0.396075,0.127266,8.982359,0.127463,0.118363,0.114402,0.123544,0.122282,0.120966,0.126075,0.137433
1000,250,5e-4,1.858341,6.4131,749.25,0.4894,0.426189,0.136133,10.146213,0.154850,0.129594,0.127191,0.124061,0.130555,0.127856,0.132107,0.163483
1010,252,5e-4,1.694120,5.4419,730.26,0.4798,0.394981,0.127251,8.767568,0.103942,0.123670,0.119182,0.113816,0.120223,0.121652,0.126644,0.146840
1020,255,5e-4,1.718722,5.5774,828.32,0.4939,0.403254,0.128892,8.820213,0.135952,0.126469,0.129224,0.119727,0.121322,0.125757,0.126553,0.141940
1030,257,5e-4,1.667005,5.2963,964.79,0.4642,0.410089,0.127680,8.575068,0.131206,0.134727,0.137907,0.119170,0.125854,0.124119,0.124497,0.133281
1040,260,5e-4,1.646935,5.1910,811.70,0.4910,0.409686,0.127871,8.563008,0.123873,0.135856,0.122020,0.118553,0.122439,0.122283,0.128700,0.132041
1050,262,5e-4,1.644154,5.1766,827.34,0.4703,0.409198,0.127111,8.421868,0.118845,0.118337,0.132650,0.124719,0.120615,0.123199,0.126371,0.140214
1060,265,5e-4,1.740420,5.6997,907.74,0.5008,0.423371,0.130637,9.006474,0.126633,0.121738,0.120125,0.124170,0.123691,0.129898,0.127091,0.140678
1070,267,5e-4,1.698147,5.4638,784.50,0.4783,0.433382,0.134357,8.958462,0.126457,0.116153,0.120551,0.125860,0.129635,0.132244,0.129661,0.143984
1080,270,5e-4,1.671417,5.3197,746.99,0.5254,0.430287,0.132493,8.684755,0.117106,0.139582,0.118397,0.130487,0.123784,0.126977,0.131881,0.147041
1090,272,5e-4,1.704024,5.4960,862.08,0.4776,0.434672,0.135408,8.859022,0.104563,0.134882,0.127357,0.134028,0.132619,0.128915,0.128045,0.148068
1100,275,5e-4,1.680154,5.3664,799.02,0.4871,0.441168,0.135861,8.755575,0.146135,0.134906,0.128241,0.128411,0.123937,0.129648,0.133023,0.147031
1110,277,5e-4,1.614630,5.0260,741.73,0.5096,0.425676,0.133726,8.211248,0.135457,0.133579,0.120966,0.128220,0.126857,0.126703,0.131276,0.157530
1120,280,5e-4,1.609355,4.9996,947.68,0.5015,0.426057,0.131607,8.085302,0.124916,0.127375,0.119096,0.125684,0.131487,0.129755,0.130500,0.132587
1130,282,5e-4,1.608600,4.9958,706.60,0.4911,0.446006,0.138373,8.308018,0.116869,0.137400,0.136748,0.133302,0.132221,0.132480,0.136544,0.148599
1140,285,5e-4,1.653956,5.2276,774.31,0.5116,0.445590,0.135660,8.544975,0.123980,0.135054,0.133096,0.132184,0.130690,0.131179,0.130592,0.146520
1150,287,5e-4,1.554947,4.7348,649.77,0.5290,0.434228,0.134150,7.933809,0.130772,0.154825,0.135672,0.127216,0.126819,0.126824,0.133604,0.151617
1160,290,5e-4,1.556162,4.7406,770.33,0.5374,0.431388,0.133382,7.801183,0.109135,0.142551,0.114911,0.131910,0.124340,0.134340,0.132486,0.140550
1170,292,5e-4,1.612709,5.0164,844.38,0.4738,0.461946,0.140660,8.387260,0.133820,0.157561,0.139681,0.133529,0.130384,0.142481,0.137234,0.144068
1180,295,5e-4,1.615759,5.0317,815.93,0.5047,0.458309,0.138155,8.486182,0.153048,0.132586,0.137431,0.143208,0.127470,0.135279,0.136413,0.144754
1190,297,5e-4,1.571853,4.8156,873.39,0.4794,0.456032,0.139268,8.085827,0.138088,0.130362,0.132020,0.132367,0.135903,0.134669,0.139434,0.152698
1200,300,5e-4,1.599475,4.9504,745.62,0.5424,0.465741,0.144856,8.236924,0.165130,0.131085,0.146311,0.129556,0.140977,0.135557,0.142012,0.166372
1210,302,5e-4,1.565287,4.7840,806.90,0.4857,0.454424,0.137775,8.116840,0.160843,0.129046,0.129399,0.130231,0.130837,0.136833,0.137041,0.146444
1220,305,5e-4,1.517226,4.5596,702.10,0.5429,0.453395,0.138090,7.770380,0.145553,0.146801,0.131228,0.132615,0.136095,0.133952,0.139106,0.143723
1230,307,5e-4,1.578517,4.8478,843.51,0.4768,0.467722,0.141111,8.236343,0.126745,0.133432,0.141759,0.132960,0.136345,0.136338,0.141672,0.154724
1240,310,5e-4,1.611285,5.0092,790.25,0.5185,0.462427,0.139323,8.263428,0.149116,0.128658,0.133200,0.142616,0.130598,0.133005,0.137484,0.148591
1250,312,5e-4,1.557600,4.7474,698.97,0.5068,0.477120,0.141441,8.124069,0.144086,0.157576,0.137972,0.132546,0.137764,0.142727,0.138805,0.153548
1260,315,5e-4,1.551220,4.7172,735.78,0.5292,0.476343,0.142835,8.005130,0.152012,0.144938,0.140804,0.139565,0.137137,0.141559,0.140479,0.151188
1270,317,5e-4,1.530587,4.6209,664.23,0.5071,0.470635,0.140655,7.894925,0.134554,0.135420,0.136416,0.142303,0.134021,0.136879,0.139884,0.148579
1280,320,5e-4,1.504669,4.5027,760.44,0.5284,0.463094,0.140635,7.783881,0.133908,0.129602,0.132127,0.140488,0.132999,0.135738,0.138565,0.168095
1290,322,5e-4,1.509910,4.5263,715.62,0.4863,0.476224,0.140174,7.952651,0.146657,0.140000,0.144592,0.137379,0.132378,0.136247,0.139521,0.157389
1300,325,5e-4,1.514602,4.5476,962.24,0.4641,0.486900,0.141931,7.907142,0.149818,0.146310,0.142900,0.139708,0.136629,0.139923,0.138563,0.146965
1310,327,5e-4,1.512284,4.5371,1000.91,0.4505,0.486343,0.144366,7.772989,0.124256,0.151029,0.136261,0.138236,0.140299,0.138833,0.142356,0.155463
1320,330,5e-4,1.461899,4.3141,686.53,0.5291,0.488856,0.143276,7.656896,0.138974,0.162114,0.143073,0.128554,0.139256,0.139869,0.144763,0.150073
1330,332,5e-4,1.497859,4.4721,820.43,0.4907,0.484533,0.143832,7.520008,0.133451,0.128803,0.135019,0.140398,0.137607,0.139545,0.143445,0.147625
1340,335,5e-4,1.536188,4.6468,711.67,0.5222,0.504743,0.147869,8.011274,0.162027,0.158238,0.148337,0.146429,0.145826,0.146273,0.145516,0.152665
1350,337,5e-4,1.472263,4.3591,795.90,0.4903,0.499804,0.146624,7.678105,0.166829,0.141179,0.143758,0.146240,0.144950,0.142630,0.143179,0.152809
1360,340,5e-4,1.596591,4.9362,766.04,0.5234,0.512081,0.152139,8.291307,0.139931,0.161848,0.158716,0.159829,0.145443,0.142103,0.152175,0.164815
1370,342,5e-4,1.524702,4.5938,803.21,0.4680,0.513522,0.150796,7.894391,0.162584,0.143873,0.151127,0.143491,0.148460,0.146775,0.149605,0.159753
1380,345,5e-4,1.480178,4.3937,722.96,0.5409,0.508201,0.151917,7.720078,0.145689,0.147814,0.142914,0.141266,0.143739,0.143415,0.150302,0.172497
1390,347,5e-4,1.464492,4.3253,679.79,0.5343,0.499032,0.146203,7.416958,0.141622,0.165622,0.141097,0.139753,0.145912,0.145771,0.146090,0.160047
1400,350,5e-4,1.503689,4.4983,818.78,0.5267,0.521841,0.152152,7.767518,0.165984,0.160333,0.164322,0.150140,0.147421,0.154807,0.145869,0.156102
1410,352,5e-4,1.516563,4.5565,824.00,0.4793,0.524216,0.151620,7.794518,0.138796,0.173378,0.156300,0.134191,0.145092,0.150430,0.148802,0.157324
1420,355,5e-4,1.479508,4.3908,806.99,0.4989,0.523652,0.149262,7.630327,0.158784,0.162916,0.145354,0.137861,0.142245,0.149237,0.148731,0.159248
1430,357,5e-4,1.469465,4.3469,753.23,0.4812,0.534260,0.154187,7.687837,0.122548,0.156266,0.159474,0.147182,0.146423,0.153924,0.154084,0.159354
1440,360,5e-4,1.441689,4.2278,791.12,0.5201,0.526410,0.150688,7.442568,0.172869,0.155562,0.152157,0.152887,0.149449,0.149131,0.147302,0.151442
1450,362,5e-4,1.438427,4.2141,649.09,0.5034,0.526387,0.151389,7.649985,0.130962,0.144544,0.146732,0.142898,0.148515,0.150705,0.149685,0.162034
1460,365,5e-4,1.551085,4.7166,680.73,0.5286,0.548346,0.156195,8.335731,0.137339,0.147786,0.155787,0.163408,0.150059,0.148725,0.158753,0.172275
1470,367,5e-4,1.397282,4.0442,767.10,0.5078,0.522254,0.151302,7.098311,0.142965,0.143774,0.160087,0.153004,0.146552,0.143693,0.150156,0.158809
1480,370,5e-4,1.444523,4.2398,792.74,0.5154,0.542519,0.154583,7.447561,0.153389,0.160018,0.133158,0.146582,0.155962,0.152402,0.153808,0.161683
1490,372,5e-4,1.453981,4.2801,900.88,0.4872,0.539165,0.154246,7.467719,0.182175,0.180859,0.168267,0.148585,0.148281,0.146457,0.151708,0.163930
1500,375,5e-4,1.447871,4.2540,689.11,0.5310,0.547136,0.155583,7.624046,0.147172,0.165950,0.146102,0.149697,0.152514,0.152397,0.154022,0.167397
1510,377,5e-4,1.515992,4.5539,741.31,0.4822,0.555047,0.157333,8.102318,0.132375,0.153185,0.159817,0.152394,0.155981,0.156493,0.154766,0.164906
1520,380,5e-4,1.504032,4.4998,722.42,0.5191,0.552421,0.156476,7.956044,0.130695,0.147099,0.163701,0.156607,0.152558,0.148388,0.157592,0.172794
1530,382,5e-4,1.476549,4.3778,750.95,0.4921,0.547815,0.156448,7.640562,0.141491,0.168993,0.134560,0.149919,0.157750,0.149505,0.155923,0.167348
1540,385,5e-4,1.452133,4.2722,782.27,0.4933,0.550706,0.154295,7.588245,0.173435,0.158425,0.159067,0.153336,0.151556,0.154300,0.151879,0.159712
1550,387,5e-4,1.434867,4.1991,693.00,0.5250,0.543742,0.156697,7.373498,0.174276,0.160842,0.159245,0.148055,0.149684,0.148053,0.154932,0.172211
1560,390,5e-4,1.492022,4.4461,777.79,0.5083,0.559271,0.158135,7.916918,0.154412,0.180397,0.163357,0.151821,0.147966,0.149340,0.157391,0.168184
1570,392,5e-4,1.579031,4.8503,878.80,0.4673,0.583964,0.165009,8.396918,0.127141,0.146960,0.153233,0.154972,0.158194,0.164351,0.161757,0.176392
1580,395,5e-4,1.416313,4.1219,705.93,0.5332,0.556273,0.156309,7.349918,0.133542,0.147065,0.160579,0.141408,0.151927,0.152887,0.156675,0.172657
1590,397,5e-4,1.491119,4.4421,734.61,0.4805,0.578028,0.161249,7.971896,0.147438,0.170307,0.163124,0.154899,0.150859,0.158461,0.160773,0.171970
1600,400,5e-4,1.406288,4.0808,828.78,0.5226,0.556697,0.157545,7.167470,0.139662,0.163284,0.141043,0.140731,0.148920,0.162169,0.155940,0.165829
1610,402,5e-4,1.441121,4.2254,664.95,0.4871,0.570147,0.160022,7.439178,0.153731,0.150814,0.158569,0.144734,0.155556,0.156451,0.158595,0.170521
1620,405,5e-4,1.481091,4.3977,1024.66,0.4864,0.575796,0.160395,7.771062,0.125015,0.145543,0.164651,0.148764,0.157147,0.159241,0.155988,0.170987
1630,407,5e-4,1.357219,3.8854,636.40,0.5344,0.570134,0.162005,6.965116,0.144440,0.163145,0.149962,0.150019,0.162614,0.157003,0.166226,0.166324
