step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
1320,330,2.9999678e-4,1.455283,4.2857,500.87,0.0992
1330,332,2.9999675e-4,1.361819,3.9033,498.08,0.1059
1340,335,2.999967e-4,1.529143,4.6142,559.08,0.1008
1350,337,2.9999664e-4,1.567333,4.7938,748.09,0.1011
1360,340,2.999966e-4,1.586827,4.8882,722.11,0.1053
1370,342,2.9999655e-4,1.475200,4.3719,611.12,0.1007
1380,345,2.999965e-4,1.448420,4.2564,519.60,0.1125
1390,347,2.9999643e-4,1.456689,4.2917,606.08,0.1036
1400,350,2.9999638e-4,1.423440,4.1514,550.49,0.0994
1410,352,2.9999635e-4,1.521071,4.5771,781.56,0.1224
1420,355,2.999963e-4,1.348262,3.8507,537.18,0.1011
1430,357,2.9999626e-4,1.443524,4.2356,503.11,0.1014
1440,360,2.9999617e-4,1.450601,4.2657,661.92,0.0981
1450,362,2.9999614e-4,1.488308,4.4296,661.35,0.1006
1460,365,2.9999609e-4,1.491823,4.4452,514.85,0.1062
1470,367,2.9999603e-4,1.470966,4.3534,551.67,0.1037
1480,370,2.9999597e-4,1.358327,3.8897,649.05,0.0975
1490,372,2.9999594e-4,1.424203,4.1545,648.27,0.1029
1500,375,2.9999585e-4,1.329641,3.7797,620.86,0.0987
1510,377,2.999958e-4,1.435455,4.2016,597.96,0.1317
1520,380,2.9999574e-4,1.380533,3.9770,529.23,0.1034
1530,382,2.999957e-4,1.369464,3.9332,573.05,0.1003
1540,385,2.9999565e-4,1.385976,3.9987,425.12,0.1070
1550,387,2.9999556e-4,1.337552,3.8097,589.10,0.0981
1560,390,2.999955e-4,1.483633,4.4089,558.48,0.1101
1570,392,2.9999547e-4,1.396679,4.0418,476.06,0.1028
1580,395,2.999954e-4,1.356683,3.8833,554.60,0.0978
1590,397,2.9999536e-4,1.335207,3.8008,526.90,0.0965
1600,400,2.9999527e-4,1.356096,3.8810,572.08,0.0968
1610,402,2.999952e-4,1.367460,3.9254,1068.58,0.2077
1620,405,2.9999515e-4,1.307650,3.6975,709.50,0.0946
1630,407,2.999951e-4,1.287467,3.6236,493.75,0.0926
