step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
21500,2687,9.99544e-5,0.560712,1.7519,46.20,0.0310,2.911012
21600,2700,9.995396e-5,0.553920,1.7401,46.75,0.0304,2.879521
21700,2712,9.9953555e-5,0.576008,1.7789,48.66,0.0298,3.035561
21800,2725,9.9953104e-5,0.575027,1.7772,45.17,0.0309,3.001254
21900,2737,9.99527e-5,0.570609,1.7693,46.26,0.0297,2.969038
22000,2750,9.9952245e-5,0.549890,1.7331,47.40,0.0295,2.861990
22100,2762,9.995182e-5,0.577868,1.7822,50.93,0.0336,3.009392
22200,2775,9.995137e-5,0.556669,1.7449,41.71,0.0288,2.946674
22300,2787,9.995095e-5,0.557631,1.7465,41.39,0.0266,2.902577
22400,2800,9.9950485e-5,0.549777,1.7329,41.99,0.0290,2.864754
22500,2812,9.995006e-5,0.562022,1.7542,43.31,0.0268,2.921385
22600,2825,9.99496e-5,0.545444,1.7254,42.44,0.0280,2.848466
22700,2837,9.9949175e-5,0.563245,1.7564,43.39,0.0268,2.947705
22800,2850,9.994871e-5,0.550475,1.7341,43.28,0.0265,2.855379
22900,2862,9.994827e-5,0.553966,1.7401,42.40,0.0282,2.892396
23000,2875,9.994781e-5,0.542027,1.7195,41.45,0.0275,2.816270
23100,2887,9.994737e-5,0.553573,1.7395,53.36,0.0327,2.903626
23200,2900,9.994689e-5,0.560120,1.7509,46.62,0.0315,2.938466
23300,2912,9.9946454e-5,0.567494,1.7638,47.24,0.0304,2.965731
23400,2925,9.994597e-5,0.550516,1.7341,48.05,0.0304,2.863163
23500,2937,9.994552e-5,0.524106,1.6889,48.24,0.0296,2.715943
23600,2950,9.994504e-5,0.546347,1.7269,48.02,0.0305,2.853286
23700,2962,9.994459e-5,0.547728,1.7293,48.09,0.0300,2.874587
23800,2975,9.994411e-5,0.557118,1.7456,49.43,0.0297,2.911443
23900,2987,9.994366e-5,0.561347,1.7530,48.47,0.0295,2.938602
24000,3000,9.9943165e-5,0.564170,1.7580,47.91,0.0293,2.927018
24100,3012,9.9942714e-5,0.539971,1.7160,52.38,0.0346,2.804597
24200,3025,9.994222e-5,0.548606,1.7308,48.54,0.0311,2.854815
24300,3037,9.994175e-5,0.552289,1.7372,46.70,0.0308,2.868913
24400,3050,9.994126e-5,0.534257,1.7062,46.97,0.0299,2.764075
24500,3062,9.994079e-5,0.555054,1.7420,47.48,0.0308,2.918712
24600,3075,9.9940284e-5,0.542416,1.7202,48.06,0.0294,2.829890
24700,3087,9.993982e-5,0.549164,1.7318,47.49,0.0311,2.879182
24800,3100,9.993931e-5,0.540219,1.7164,46.66,0.0322,2.812084
24900,3112,9.993884e-5,0.552341,1.7373,48.58,0.0293,2.870068
25000,3125,9.9938334e-5,0.532044,1.7024,45.21,0.0305,2.778835
25100,3137,9.993785e-5,0.537708,1.7121,53.14,0.0348,2.796344
25200,3150,9.9937344e-5,0.535962,1.7091,46.30,0.0313,2.791970
25300,3162,9.9936864e-5,0.528606,1.6966,46.28,0.0314,2.748647
25400,3175,9.993634e-5,0.550453,1.7340,48.21,0.0306,2.880737
25500,3187,9.993586e-5,0.548870,1.7313,47.60,0.0310,2.864556
25600,3200,9.9935336e-5,0.533485,1.7049,47.34,0.0301,2.782796
25700,3212,9.9934856e-5,0.548718,1.7310,48.47,0.0298,2.877017
25800,3225,9.993432e-5,0.531816,1.7020,47.95,0.0296,2.767973
25900,3237,9.993384e-5,0.530584,1.6999,46.69,0.0303,2.734897
26000,3250,9.99333e-5,0.544410,1.7236,47.77,0.0292,2.850132
26100,3262,9.9932804e-5,0.523744,1.6883,51.36,0.0350,2.732536
26200,3275,9.9932266e-5,0.553334,1.7390,47.81,0.0297,2.876467
26300,3287,9.993177e-5,0.537107,1.7111,41.34,0.0277,2.817373
26400,3300,9.993123e-5,0.548870,1.7313,39.64,0.0238,2.860707
26500,3312,9.993074e-5,0.540053,1.7161,39.08,0.0242,2.817942
26600,3325,9.9930185e-5,0.533779,1.7054,38.74,0.0246,2.766752
26700,3337,9.992969e-5,0.549301,1.7320,39.31,0.0235,2.888320
