step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
12500,1562,9.9984594e-5,0.674761,1.9636,35.15,0.0226,3.528066
12600,1575,9.998433e-5,0.631450,1.8803,34.97,0.0228,3.294415
12700,1587,9.9984085e-5,0.650458,1.9164,34.93,0.0226,3.391294
12800,1600,9.998384e-5,0.663154,1.9409,35.86,0.0225,3.456531
12900,1612,9.998359e-5,0.654199,1.9236,34.96,0.0227,3.413141
13000,1625,9.998333e-5,0.648936,1.9135,35.89,0.0230,3.381921
13100,1637,9.998308e-5,0.647711,1.9112,41.26,0.0260,3.336465
13200,1650,9.9982804e-5,0.646793,1.9094,35.27,0.0231,3.360452
13300,1662,9.998256e-5,0.662256,1.9392,35.85,0.0232,3.467606
13400,1675,9.998228e-5,0.661387,1.9375,35.46,0.0230,3.456484
13500,1687,9.998202e-5,0.633257,1.8837,35.30,0.0221,3.281553
13600,1700,9.998176e-5,0.641019,1.8984,34.87,0.0235,3.351126
13700,1712,9.9981495e-5,0.655514,1.9261,35.02,0.0218,3.392557
13800,1725,9.9981204e-5,0.656754,1.9285,35.09,0.0222,3.408673
13900,1737,9.998094e-5,0.656970,1.9289,36.18,0.0246,3.460689
14000,1750,9.998065e-5,0.667241,1.9489,36.58,0.0225,3.476892
14100,1762,9.998039e-5,0.633462,1.8841,42.55,0.0262,3.294736
14200,1775,9.99801e-5,0.656894,1.9288,35.44,0.0213,3.408427
14300,1787,9.9979836e-5,0.630026,1.8777,35.57,0.0214,3.271636
14400,1800,9.997953e-5,0.620015,1.8590,35.65,0.0222,3.246061
14500,1812,9.997927e-5,0.616567,1.8526,34.58,0.0241,3.234952
14600,1825,9.997896e-5,0.610943,1.8422,34.56,0.0226,3.140917
14700,1837,9.9978686e-5,0.630945,1.8794,35.44,0.0245,3.316493
14800,1850,9.997838e-5,0.623583,1.8656,34.88,0.0229,3.253502
14900,1862,9.9978104e-5,0.635367,1.8877,36.38,0.0216,3.310867
15000,1875,9.99778e-5,0.642229,1.9007,36.03,0.0220,3.343285
15100,1887,9.997751e-5,0.637792,1.8923,44.17,0.0295,3.352186
15200,1900,9.99772e-5,0.611568,1.8433,35.30,0.0230,3.160083
15300,1912,9.997691e-5,0.617654,1.8546,35.21,0.0219,3.189147
15400,1925,9.997659e-5,0.622125,1.8629,35.40,0.0219,3.249195
15500,1937,9.99763e-5,0.633736,1.8846,36.11,0.0221,3.308536
15600,1950,9.997598e-5,0.638555,1.8937,36.42,0.0217,3.347621
15700,1962,9.997569e-5,0.611030,1.8423,34.96,0.0237,3.185304
15800,1975,9.997537e-5,0.595816,1.8145,35.54,0.0221,3.091331
15900,1987,9.997506e-5,0.633549,1.8843,35.41,0.0217,3.310116
16000,2000,9.997473e-5,0.613127,1.8462,35.62,0.0226,3.209751
16100,2012,9.997444e-5,0.619324,1.8577,41.43,0.0271,3.249000
16200,2025,9.99741e-5,0.614613,1.8489,35.15,0.0225,3.188699
16300,2037,9.99738e-5,0.625248,1.8687,35.76,0.0220,3.245134
16400,2050,9.997346e-5,0.605639,1.8324,35.48,0.0229,3.145669
16500,2062,9.997314e-5,0.603483,1.8285,35.59,0.0226,3.140272
16600,2075,9.997281e-5,0.613456,1.8468,34.97,0.0226,3.192718
16700,2087,9.997249e-5,0.628480,1.8748,36.71,0.0220,3.301773
16800,2100,9.997215e-5,0.577442,1.7815,35.01,0.0237,2.997208
16900,2112,9.997183e-5,0.598335,1.8191,35.78,0.0233,3.110898
17000,2125,9.997148e-5,0.615040,1.8497,35.43,0.0215,3.206294
17100,2137,9.997116e-5,0.582636,1.7908,42.02,0.0283,3.013375
17200,2150,9.997081e-5,0.594911,1.8129,35.07,0.0228,3.097323
17300,2162,9.997048e-5,0.596092,1.8150,35.45,0.0224,3.093044
17400,2175,9.9970115e-5,0.611181,1.8426,35.45,0.0240,3.191721
17500,2187,9.9969795e-5,0.601088,1.8241,35.47,0.0231,3.135913
17600,2200,9.996943e-5,0.612876,1.8457,35.51,0.0225,3.201542
17700,2212,9.99691e-5,0.618095,1.8554,35.74,0.0229,3.242920
17800,2225,9.996873e-5,0.602125,1.8260,35.02,0.0225,3.132747
17900,2237,9.99684e-5,0.599337,1.8209,35.10,0.0241,3.138154
18000,2250,9.9968034e-5,0.603088,1.8278,36.36,0.0226,3.142260
18100,2262,9.9967685e-5,0.598981,1.8203,40.47,0.0272,3.107346
18200,2275,9.996731e-5,0.597764,1.8180,35.67,0.0213,3.111199
18300,2287,9.996697e-5,0.595124,1.8133,35.26,0.0229,3.103618
18400,2300,9.996659e-5,0.603948,1.8293,35.89,0.0225,3.145807
18500,2312,9.9966244e-5,0.573485,1.7744,35.12,0.0231,2.978683
18600,2325,9.9965866e-5,0.584699,1.7945,35.04,0.0222,3.061928
18700,2337,9.99655e-5,0.576106,1.7791,34.62,0.0224,2.993010
18800,2350,9.9965124e-5,0.576445,1.7797,35.36,0.0225,2.985526
18900,2362,9.9964775e-5,0.582071,1.7897,34.93,0.0241,3.030782
19000,2375,9.996438e-5,0.593003,1.8094,36.18,0.0212,3.086254
19100,2387,9.996402e-5,0.593252,1.8099,42.27,0.0262,3.098162
19200,2400,9.9963625e-5,0.579538,1.7852,35.74,0.0231,3.020746
19300,2412,9.996326e-5,0.582833,1.7911,34.52,0.0231,3.021594
19400,2425,9.9962854e-5,0.597222,1.8171,35.98,0.0220,3.099350
19500,2437,9.996249e-5,0.603013,1.8276,35.91,0.0230,3.179534
19600,2450,9.99621e-5,0.599976,1.8221,35.98,0.0220,3.147128
19700,2462,9.996172e-5,0.570740,1.7696,34.89,0.0228,2.958413
19800,2475,9.996131e-5,0.575593,1.7782,35.04,0.0232,3.002520
19900,2487,9.996093e-5,0.570118,1.7685,35.89,0.0230,2.990966
20000,2500,9.9960525e-5,0.570783,1.7697,35.30,0.0226,2.963260
20100,2512,9.996015e-5,0.566975,1.7629,41.49,0.0269,2.928539
20200,2525,9.995974e-5,0.573643,1.7747,35.10,0.0221,2.983357
20300,2537,9.995935e-5,0.561946,1.7541,35.13,0.0230,2.918062
20400,2550,9.9958925e-5,0.582463,1.7904,35.36,0.0228,3.052860
20500,2562,9.9958546e-5,0.573425,1.7743,35.80,0.0225,2.979571
20600,2575,9.9958124e-5,0.561936,1.7541,34.96,0.0223,2.931283
20700,2587,9.995773e-5,0.574656,1.7765,35.31,0.0223,2.996089
20800,2600,9.995731e-5,0.575266,1.7776,35.24,0.0232,3.008174
20900,2612,9.995692e-5,0.599253,1.8208,35.39,0.0220,3.128793
21000,2625,9.995648e-5,0.583788,1.7928,35.27,0.0221,3.062204
21100,2637,9.995609e-5,0.563047,1.7560,41.14,0.0281,2.939426
21200,2650,9.995565e-5,0.567881,1.7645,34.99,0.0223,2.946363
21300,2662,9.995526e-5,0.569656,1.7677,35.63,0.0226,2.980458
21400,2675,9.995481e-5,0.569773,1.7679,35.06,0.0214,2.967770
21500,2687,9.99544e-5,0.565202,1.7598,34.04,0.0228,2.934479
21600,2700,9.995396e-5,0.557428,1.7462,35.19,0.0229,2.897130
21700,2712,9.9953555e-5,0.579826,1.7857,37.04,0.0227,3.055285
21800,2725,9.9953104e-5,0.580335,1.7866,34.15,0.0234,3.028416
21900,2737,9.99527e-5,0.575885,1.7787,35.80,0.0230,2.996470
22000,2750,9.9952245e-5,0.556908,1.7453,35.49,0.0221,2.898436
22100,2762,9.995182e-5,0.579734,1.7856,64.46,0.0426,3.018470
22200,2775,9.995137e-5,0.562978,1.7559,58.95,0.0407,2.979511
22300,2787,9.995095e-5,0.560159,1.7510,58.81,0.0378,2.914926
22400,2800,9.9950485e-5,0.555559,1.7429,59.19,0.0409,2.895205
22500,2812,9.995006e-5,0.570797,1.7697,60.45,0.0374,2.967149
22600,2825,9.99496e-5,0.551504,1.7359,41.66,0.0275,2.879670
22700,2837,9.9949175e-5,0.568078,1.7649,36.13,0.0223,2.972528
22800,2850,9.994871e-5,0.553543,1.7394,35.93,0.0220,2.870898
22900,2862,9.994827e-5,0.561320,1.7530,35.43,0.0236,2.930324
23000,2875,9.994781e-5,0.547619,1.7291,34.67,0.0230,2.845086
23100,2887,9.994737e-5,0.559093,1.7491,41.65,0.0255,2.931316
23200,2900,9.994689e-5,0.564539,1.7586,35.32,0.0239,2.961093
23300,2912,9.9946454e-5,0.574562,1.7764,35.48,0.0228,3.002375
23400,2925,9.994597e-5,0.555979,1.7436,36.06,0.0228,2.891633
23500,2937,9.994552e-5,0.531601,1.7017,35.63,0.0219,2.755115
23600,2950,9.994504e-5,0.555025,1.7420,36.00,0.0228,2.898292
23700,2962,9.994459e-5,0.552630,1.7378,35.40,0.0221,2.900167
23800,2975,9.994411e-5,0.564229,1.7581,36.69,0.0220,2.949021
23900,2987,9.994366e-5,0.568906,1.7663,36.70,0.0223,2.978142
24000,3000,9.9943165e-5,0.566561,1.7622,36.21,0.0221,2.939109
24100,3012,9.9942714e-5,0.548516,1.7307,42.08,0.0278,2.849224
24200,3025,9.994222e-5,0.555650,1.7431,35.39,0.0227,2.891160
24300,3037,9.994175e-5,0.556183,1.7440,35.24,0.0233,2.889492
24400,3050,9.994126e-5,0.539883,1.7158,35.36,0.0225,2.793044
24500,3062,9.994079e-5,0.558557,1.7481,35.31,0.0229,2.937402
24600,3075,9.9940284e-5,0.547751,1.7294,35.86,0.0220,2.857339
24700,3087,9.993982e-5,0.557051,1.7455,35.55,0.0233,2.920660
24800,3100,9.993931e-5,0.548291,1.7303,34.68,0.0239,2.853925
24900,3112,9.993884e-5,0.559353,1.7495,35.65,0.0215,2.906262
25000,3125,9.9938334e-5,0.539170,1.7146,34.65,0.0234,2.815833
25100,3137,9.993785e-5,0.543238,1.7216,40.88,0.0268,2.824970
25200,3150,9.9937344e-5,0.540760,1.7173,35.19,0.0238,2.817397
25300,3162,9.9936864e-5,0.534528,1.7066,35.52,0.0241,2.778838
25400,3175,9.993634e-5,0.556552,1.7446,35.47,0.0225,2.912377
25500,3187,9.993586e-5,0.551656,1.7361,35.34,0.0230,2.879017
25600,3200,9.9935336e-5,0.542374,1.7201,35.41,0.0225,2.828212
25700,3212,9.9934856e-5,0.555690,1.7431,36.49,0.0224,2.913182
25800,3225,9.993432e-5,0.535964,1.7091,35.30,0.0218,2.788398
25900,3237,9.993384e-5,0.532912,1.7039,34.66,0.0225,2.746351
26000,3250,9.99333e-5,0.551458,1.7358,35.23,0.0215,2.886154
26100,3262,9.9932804e-5,0.531384,1.7013,41.62,0.0284,2.772289
26200,3275,9.9932266e-5,0.563017,1.7560,36.08,0.0224,2.927141
26300,3287,9.993177e-5,0.541159,1.7180,34.95,0.0234,2.838567
26400,3300,9.993123e-5,0.554132,1.7404,35.77,0.0214,2.887871
26500,3312,9.993074e-5,0.546590,1.7274,35.41,0.0219,2.851526
26600,3325,9.9930185e-5,0.538894,1.7141,35.08,0.0223,2.793652
26700,3337,9.992969e-5,0.556505,1.7446,35.93,0.0215,2.926502
26800,3350,9.992914e-5,0.538446,1.7133,34.49,0.0231,2.815665
26900,3362,9.992863e-5,0.537177,1.7112,34.63,0.0225,2.802801
