step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
200760,50190,5e-6,1.163085,3.1998,10266.95,8.3228,3.472270
200770,50192,5e-6,0.937787,2.5543,8192.49,9.1684,2.668432
200780,50195,5e-6,1.009181,2.7434,8485.01,8.6627,2.791979
200790,50197,5e-6,0.836955,2.3093,8463.31,8.0738,2.515798
200800,50200,5e-6,0.775984,2.1727,11304.85,8.6402,2.218055
200810,50202,5e-6,1.005714,2.7339,9217.06,9.2841,2.818659
200820,50205,5e-6,1.218410,3.3818,9263.92,8.4307,4.150257
200830,50207,5e-6,0.934304,2.5454,14770.20,8.1587,2.797732
200840,50210,5e-6,0.890187,2.4356,10904.04,7.8268,2.589295
200850,50212,5e-6,1.306921,3.6948,7827.10,9.0831,9.597006
200860,50215,5e-6,1.003686,2.7283,6928.72,8.4869,2.977215
200870,50217,5e-6,1.040121,2.8296,9970.64,9.6356,3.064256
200880,50220,5e-6,1.089134,2.9717,8585.99,8.4620,3.134595
200890,50222,5e-6,1.054986,2.8719,9532.90,8.5315,3.101452
200900,50225,5e-6,1.091017,2.9773,11706.49,7.8329,3.223623
200910,50227,5e-6,0.897973,2.4546,11299.26,9.4376,2.486286
200920,50230,5e-6,1.213192,3.3642,6440.81,10.0325,4.389017
200930,50232,5e-6,1.396126,4.0395,7415.11,8.1769,4.321141
200940,50235,5e-6,1.114377,3.0477,9414.40,8.9461,3.973064
200950,50237,5e-6,1.277469,3.5875,9754.77,8.0258,4.042562
200960,50240,5e-6,1.084128,2.9569,10553.18,7.7310,3.056489
200970,50242,5e-6,1.269078,3.5576,8813.95,8.7916,4.266478
200980,50245,5e-6,1.147376,3.1499,11110.85,8.2758,3.521348
200990,50247,5e-6,0.872360,2.3926,10563.86,7.6211,2.473907
201000,50250,5e-6,0.959579,2.6106,6378.84,8.1547,2.712024
201010,50252,5e-6,0.952325,2.5917,12832.43,10.1392,2.645128
201020,50255,5e-6,1.049798,2.8571,9110.69,7.8649,3.099204
201030,50257,5e-6,0.973454,2.6471,11468.06,9.4399,2.723085
201040,50260,5e-6,1.029919,2.8008,9407.62,8.1681,3.570855
201050,50262,5e-6,0.980401,2.6655,5946.04,8.2885,2.856014
201060,50265,5e-6,0.946551,2.5768,10995.81,9.0338,2.624121
201070,50267,5e-6,1.145400,3.1437,5185.56,9.2865,3.422450
201080,50270,5e-6,1.074211,2.9277,5154.64,8.0463,4.564364
201090,50272,5e-6,0.879247,2.4091,10916.92,9.5497,2.437249
201100,50275,5e-6,0.968596,2.6342,8842.98,8.2096,2.793722
201110,50277,5e-6,0.987439,2.6844,10633.81,7.8136,2.756946
201120,50280,5e-6,1.186110,3.2743,9290.21,8.1869,3.894379
201130,50282,5e-6,0.939202,2.5579,6807.02,8.1640,2.656438
201140,50285,5e-6,0.944824,2.5724,9125.67,8.7991,2.794635
201150,50287,5e-6,0.959894,2.6114,12144.26,8.0941,2.719813
201160,50290,5e-6,0.998141,2.7132,5590.01,8.8254,2.863429
201170,50292,5e-6,0.809939,2.2478,13556.37,8.4254,2.274273
201180,50295,5e-6,1.158971,3.1867,7924.15,8.1682,3.594836
201190,50297,5e-6,1.126737,3.0856,7761.08,8.0667,3.532551
201200,50300,5e-6,0.925803,2.5239,11377.67,7.5910,2.631517
201210,50302,5e-6,1.346261,3.8430,5127.98,8.9243,4.228328
201220,50305,5e-6,0.997087,2.7104,11866.12,7.9231,3.046066
201230,50307,5e-6,0.847810,2.3345,10283.14,8.3837,2.381280
201240,50310,5e-6,0.988651,2.6876,10554.38,7.6792,2.862015
201250,50312,5e-6,0.912765,2.4912,11784.69,8.9788,2.521028
201260,50315,5e-6,0.969437,2.6365,9026.89,7.8910,2.754740
201270,50317,5e-6,0.843386,2.3242,11289.69,8.2119,2.341542
201280,50320,5e-6,0.945493,2.5741,6707.62,7.7682,2.843291
201290,50322,5e-6,1.139327,3.1247,8770.22,9.1304,3.473656
201300,50325,5e-6,0.888803,2.4322,9959.53,7.7840,2.576447
201310,50327,5e-6,1.030538,2.8026,8609.46,8.8926,3.387364
201320,50330,5e-6,0.984673,2.6769,12917.84,7.1556,2.987416
201330,50332,5e-6,0.820646,2.2720,7250.90,7.7262,2.299731
201340,50335,5e-6,0.932385,2.5406,9755.23,7.7317,2.595879
201350,50337,5e-6,1.075002,2.9300,6741.76,7.9958,3.402325
201360,50340,5e-6,1.001729,2.7230,12287.75,8.1473,2.908285
201370,50342,5e-6,1.005723,2.7339,8661.58,7.5408,3.055856
201380,50345,5e-6,1.080663,2.9466,10803.76,8.0564,3.043199
201390,50347,5e-6,1.121503,3.0695,13158.53,9.1912,3.436847
201400,50350,5e-6,1.107397,3.0265,10224.10,8.2789,3.438499
201410,50352,5e-6,1.055043,2.8721,7899.06,8.6825,3.037016
201420,50355,5e-6,1.017527,2.7663,12379.67,8.6155,3.341698
201430,50357,5e-6,1.246728,3.4789,6144.54,8.7976,3.956582
201440,50360,5e-6,1.080980,2.9476,9033.80,9.0906,3.216143
201450,50362,5e-6,0.864191,2.3731,9020.71,8.4636,2.415400
201460,50365,5e-6,0.951272,2.5890,6578.81,8.1895,2.677140
201470,50367,5e-6,0.848839,2.3369,10524.25,7.4037,2.449485
201480,50370,5e-6,0.968785,2.6347,9956.00,8.5456,3.434891
201490,50372,5e-6,0.993919,2.7018,9807.05,7.2697,2.848474
201500,50375,5e-6,1.164080,3.2030,7621.47,7.6394,3.420736
201510,50377,5e-6,0.950575,2.5872,8514.46,8.1226,2.717035
