step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3470500,867625,5e-6,0.371050,1.4493,118.21,0.0203,1.462868
3470600,867650,5e-6,0.387547,1.4734,122.29,0.0203,1.552700
3470700,867675,5e-6,0.414774,1.5140,116.62,0.0207,1.560780
3470800,867700,5e-6,0.401250,1.4937,115.65,0.0205,1.543588
3470900,867725,5e-6,0.380506,1.4630,108.78,0.0217,1.478997
3471000,867750,5e-6,0.392830,1.4812,116.15,0.0203,1.497004
3471100,867775,5e-6,0.374900,1.4548,164.72,0.0267,1.468198
3471200,867800,5e-6,0.388893,1.4753,124.56,0.0195,1.486587
3471300,867825,5e-6,0.392378,1.4805,122.76,0.0218,1.493637
3471400,867850,5e-6,0.391190,1.4787,125.29,0.0207,1.504240
3471500,867875,5e-6,0.403071,1.4964,113.56,0.0208,1.530866
3471600,867900,5e-6,0.394805,1.4841,122.25,0.0200,1.500882
3471700,867925,5e-6,0.409697,1.5064,111.42,0.0209,1.571513
3471800,867950,5e-6,0.401116,1.4935,117.61,0.0203,1.511926
3471900,867975,5e-6,0.396432,1.4865,117.97,0.0210,1.529658
3472000,868000,5e-6,0.376375,1.4570,122.03,0.0201,1.481549
3472100,868025,5e-6,0.413316,1.5118,144.65,0.0292,1.535039
3472200,868050,5e-6,0.436998,1.5481,125.51,0.0196,1.622133
3472300,868075,5e-6,0.392488,1.4807,117.56,0.0201,1.498689
3472400,868100,5e-6,0.431264,1.5392,129.10,0.0186,1.627924
3472500,868125,5e-6,0.373100,1.4522,124.24,0.0201,1.470787
3472600,868150,5e-6,0.381625,1.4647,117.04,0.0204,1.475637
3472700,868175,5e-6,0.409983,1.5068,117.77,0.0205,1.538541
3472800,868200,5e-6,0.438510,1.5504,115.11,0.0203,1.634884
3472900,868225,5e-6,0.400259,1.4922,113.55,0.0209,1.600056
3473000,868250,5e-6,0.430236,1.5376,122.99,0.0199,1.625007
3473100,868275,5e-6,0.407193,1.5026,151.32,0.0279,1.555976
3473200,868300,5e-6,0.376053,1.4565,111.28,0.0210,1.528603
3473300,868325,5e-6,0.387493,1.4733,110.84,0.0214,1.492757
3473400,868350,5e-6,0.381106,1.4639,114.75,0.0206,1.486215
3473500,868375,5e-6,0.369281,1.4467,115.25,0.0200,1.459220
3473600,868400,5e-6,0.401576,1.4942,112.69,0.0212,1.540633
3473700,868425,5e-6,0.427594,1.5336,110.46,0.0214,1.579949
