step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3463400,1731700,5e-6,0.354188,1.4250,96.21,0.0271,1.439452
3463500,1731750,5e-6,0.343176,1.4094,95.43,0.0277,1.429571
3463600,1731800,5e-6,0.349745,1.4187,92.67,0.0277,1.441992
3463700,1731850,5e-6,0.383862,1.4679,90.19,0.0293,1.576854
3463800,1731900,5e-6,0.384429,1.4688,93.82,0.0276,1.743503
3463900,1731950,5e-6,0.317788,1.3741,93.30,0.0280,1.383628
3464000,1732000,5e-6,0.322029,1.3799,91.32,0.0277,1.389317
3464100,1732050,5e-6,0.387196,1.4728,133.69,0.0360,1.511512
3464200,1732100,5e-6,0.344799,1.4117,104.03,0.0256,1.426367
3464300,1732150,5e-6,0.328023,1.3882,91.55,0.0294,1.401272
3464400,1732200,5e-6,0.348821,1.4174,92.12,0.0289,1.433979
3464500,1732250,5e-6,0.343817,1.4103,96.03,0.0287,1.421460
3464600,1732300,5e-6,0.345881,1.4132,99.93,0.0263,1.446436
3464700,1732350,5e-6,0.343063,1.4093,98.44,0.0265,1.427255
3464800,1732400,5e-6,0.332614,1.3946,93.43,0.0280,1.418489
3464900,1732450,5e-6,0.332972,1.3951,98.33,0.0271,1.401166
3465000,1732500,5e-6,0.343390,1.4097,97.81,0.0268,1.490823
3465100,1732550,5e-6,0.315077,1.3704,125.86,0.0417,1.377896
3465200,1732600,5e-6,0.364003,1.4391,96.16,0.0272,1.501583
3465300,1732650,5e-6,0.370790,1.4489,92.79,0.0284,1.526290
3465400,1732700,5e-6,0.348508,1.4170,108.52,0.0242,1.432076
3465500,1732750,5e-6,0.353809,1.4245,99.08,0.0251,1.436713
3465600,1732800,5e-6,0.348405,1.4168,100.60,0.0269,1.441681
3465700,1732850,5e-6,0.342873,1.4090,94.72,0.0273,1.419166
3465800,1732900,5e-6,0.365658,1.4415,98.47,0.0260,1.496085
3465900,1732950,5e-6,0.344719,1.4116,98.93,0.0264,1.429368
3466000,1733000,5e-6,0.339076,1.4037,90.66,0.0291,1.424568
3466100,1733050,5e-6,0.354405,1.4253,126.77,0.0398,1.457797
3466200,1733100,5e-6,0.369228,1.4466,101.83,0.0258,1.537925
3466300,1733150,5e-6,0.336408,1.3999,113.31,0.0283,1.420833
