step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
900,900,1.9997601e-4,1.872857,6.5069,29003.29,1.6704,0.649165,0.037159,13.852173
910,910,1.9997547e-4,1.870281,6.4901,23497.63,1.6926,0.649011,0.036232,13.541590
920,920,1.9997492e-4,1.882394,6.5692,22702.77,1.6698,0.646284,0.037027,13.842259
930,930,1.999744e-4,1.858448,6.4138,23888.61,1.6852,0.640259,0.039036,13.288678
940,940,1.9997383e-4,1.876224,6.5288,26165.87,1.7575,0.655910,0.037911,13.681628
950,950,1.9997326e-4,1.848131,6.3479,32155.08,1.7697,0.651181,0.037273,13.682798
960,960,1.9997271e-4,1.840473,6.2995,21039.52,1.7745,0.660062,0.039264,13.485735
970,970,1.9997214e-4,1.835138,6.2660,28176.76,1.8041,0.681839,0.040227,13.266775
980,980,1.9997155e-4,1.828693,6.2257,28921.93,1.7903,0.673580,0.038322,13.299225
990,990,1.9997098e-4,1.816354,6.1494,24590.29,1.8033,0.677325,0.038252,13.037560
1000,1000,1.9997038e-4,1.788344,5.9795,25474.09,1.8378,0.675647,0.037797,13.036184
1010,1010,1.999698e-4,1.851593,6.3700,24866.81,1.8138,0.696705,0.040767,13.230824
1020,1020,1.9996919e-4,1.830688,6.2382,25932.20,1.7591,0.715769,0.040740,13.303934
1030,1030,1.9996858e-4,1.816140,6.1481,32966.15,1.7630,0.687995,0.037478,13.394178
1040,1040,1.9996797e-4,1.856942,6.4041,24654.25,1.7474,0.727240,0.040139,14.107076
1050,1050,1.9996736e-4,1.781300,5.9376,27275.25,1.7856,0.662145,0.041055,12.813782
1060,1060,1.9996673e-4,1.806156,6.0870,25723.29,1.8017,0.687256,0.040551,13.122294
1070,1070,1.999661e-4,1.766896,5.8527,27616.52,1.8002,0.686758,0.039735,12.720432
1080,1080,1.9996546e-4,1.749693,5.7528,27645.82,1.7928,0.681324,0.038463,12.629725
1090,1090,1.9996482e-4,1.745244,5.7273,29364.10,1.7775,0.701360,0.041321,12.833878
1100,1100,1.9996418e-4,1.743509,5.7174,21308.55,1.7955,0.709088,0.040582,12.617150
1110,1110,1.9996351e-4,1.735679,5.6728,25302.93,1.8067,0.721068,0.042180,12.536129
1120,1120,1.9996286e-4,1.791769,6.0001,32172.96,1.8301,0.702349,0.041264,12.722717
1130,1130,1.9996219e-4,1.940284,6.9607,23638.55,1.7228,0.774078,0.042696,15.250554
1140,1140,1.999615e-4,1.775335,5.9023,26260.85,1.7756,0.687664,0.041016,13.044273
1150,1150,1.9996084e-4,1.785746,5.9640,28290.56,1.7923,0.689812,0.039315,12.919441
1160,1160,1.9996015e-4,1.767643,5.8570,32662.65,1.7356,0.692187,0.039520,13.223127
1170,1170,1.9995947e-4,1.718938,5.5786,28599.26,1.7709,0.692227,0.040658,12.278996
1180,1180,1.9995877e-4,1.711791,5.5389,33743.84,1.7803,0.701430,0.039205,12.272490
1190,1190,1.9995807e-4,1.737195,5.6814,25808.22,1.7416,0.709601,0.040450,12.777532
1200,1200,1.9995737e-4,1.726505,5.6210,27014.60,1.7507,0.714047,0.040844,12.522844
1210,1210,1.9995664e-4,1.699118,5.4691,28190.62,1.7873,0.691685,0.040987,11.986006
1220,1220,1.9995593e-4,1.712045,5.5403,22874.64,1.7622,0.702936,0.041134,12.438456
1230,1230,1.999552e-4,1.735904,5.6741,28428.75,1.7415,0.721132,0.043175,12.711207
1240,1240,1.9995448e-4,1.717814,5.5723,28091.68,1.7706,0.715202,0.042824,12.311220
1250,1250,1.9995373e-4,1.702114,5.4855,26802.84,1.7593,0.714536,0.042227,12.412169
1260,1260,1.9995299e-4,1.699487,5.4711,27407.42,1.7292,0.731620,0.044717,12.566646
1270,1270,1.9995225e-4,1.656078,5.2387,26796.77,1.7601,0.722600,0.041418,11.865586
1280,1280,1.999515e-4,1.683304,5.3833,26859.46,1.7312,0.720266,0.041667,12.050953
1290,1290,1.9995074e-4,1.693338,5.4376,28698.52,1.6974,0.735239,0.042033,12.514364
1300,1300,1.9994997e-4,1.666780,5.2951,26116.74,1.7080,0.745490,0.043974,12.179811
