step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
468290,117072,5e-6,0.931959,2.5395,8269.20,7.8652,2.798046
468300,117075,5e-6,0.853095,2.3469,10182.73,7.7146,2.446373
468310,117077,5e-6,0.757298,2.1325,7471.34,8.0942,2.165603
468320,117080,5e-6,0.750069,2.1171,12060.37,7.5130,2.157179
468330,117082,5e-6,0.939725,2.5593,6022.69,8.1750,2.944438
468340,117085,5e-6,0.815717,2.2608,8737.57,7.7600,2.344827
468350,117087,5e-6,0.796950,2.2188,11043.35,7.7349,2.246151
468360,117090,5e-6,0.776878,2.1747,10007.58,7.4335,2.238676
468370,117092,5e-6,0.855568,2.3527,9381.85,7.6089,2.438252
468380,117095,5e-6,1.031505,2.8053,8020.76,8.0428,3.236443
468390,117097,5e-6,0.743200,2.1027,10018.44,7.9073,2.116715
468400,117100,5e-6,0.826678,2.2857,8669.68,8.0400,2.366023
468410,117102,5e-6,1.038693,2.8255,8923.97,8.0811,3.392393
468420,117105,5e-6,0.647654,1.9111,10576.04,7.6299,1.920023
468430,117107,5e-6,0.776301,2.1734,10313.55,8.0915,2.224511
468440,117110,5e-6,0.964317,2.6230,9989.41,7.2250,2.859659
468450,117112,5e-6,0.902427,2.4656,9137.52,7.7291,2.664574
468460,117115,5e-6,0.728577,2.0721,9802.33,7.8247,2.097559
468470,117117,5e-6,0.868087,2.3824,5817.66,8.4524,2.417203
468480,117120,5e-6,1.048782,2.8542,6820.30,8.5798,3.414310
468490,117122,5e-6,1.016416,2.7633,11150.21,8.6748,4.118243
468500,117125,5e-6,0.816537,2.2627,12372.88,7.6288,2.287189
468510,117127,5e-6,0.850082,2.3398,8363.87,7.3440,2.365193
468520,117130,5e-6,0.874645,2.3980,7611.09,7.9903,2.563183
468530,117132,5e-6,0.866922,2.3796,8221.12,7.5057,2.523161
468540,117135,5e-6,0.919098,2.5070,9616.73,8.0970,2.860983
468550,117137,5e-6,0.763974,2.1468,8594.78,7.5689,2.173503
468560,117140,5e-6,0.997632,2.7119,8425.67,7.7062,3.014122
468570,117142,5e-6,0.863266,2.3709,8595.34,6.9370,2.812672
468580,117145,5e-6,1.073765,2.9264,6952.62,6.9703,3.772971
468590,117147,5e-6,0.763850,2.1465,7370.00,7.1494,2.341855
468600,117150,5e-6,0.938159,2.5553,10550.72,7.9710,2.926109
468610,117152,5e-6,0.943893,2.5700,7500.38,7.7174,2.666766
468620,117155,5e-6,0.739853,2.0956,9891.72,8.0237,2.131943
468630,117157,5e-6,1.012419,2.7522,8369.15,7.3588,3.077670
468640,117160,5e-6,0.914238,2.4949,14034.20,7.1130,2.740434
468650,117162,5e-6,1.038869,2.8260,3955.91,7.7277,3.139701
468660,117165,5e-6,1.020389,2.7743,8247.23,7.0884,3.880576
468670,117167,5e-6,0.825929,2.2840,5564.39,7.3408,2.311703
468680,117170,5e-6,0.877369,2.4046,5693.09,7.5378,2.540867
468690,117172,5e-6,0.757677,2.1333,7431.67,7.7653,2.268376
468700,117175,5e-6,0.835577,2.3061,12644.98,7.3221,2.342812
468710,117177,5e-6,0.897456,2.4534,6281.61,8.1443,2.721926
468720,117180,5e-6,0.944151,2.5706,7936.82,7.6963,2.649122
468730,117182,5e-6,0.903700,2.4687,8323.04,7.4163,2.664677
468740,117185,5e-6,0.775949,2.1727,9109.90,7.3349,2.211709
468750,117187,5e-6,1.285300,3.6158,7593.67,7.4226,6.041600
468760,117190,5e-6,0.925277,2.5226,6223.72,7.8467,2.827449
468770,117192,5e-6,0.855898,2.3535,7026.03,7.4172,2.484627
468780,117195,5e-6,0.868196,2.3826,6621.32,8.0430,2.518399
468790,117197,5e-6,0.940102,2.5602,10698.62,7.6858,2.686000
468800,117200,5e-6,0.787436,2.1978,7042.53,8.1579,2.290307
468810,117202,5e-6,1.455223,4.2854,9968.69,8.5080,16.004974
468820,117205,5e-6,0.888689,2.4319,6080.88,8.4535,2.542089
468830,117207,5e-6,0.877220,2.4042,13102.04,7.3483,2.463515
468840,117210,5e-6,0.991729,2.6959,6717.05,7.5835,2.895336
468850,117212,5e-6,0.785943,2.1945,8803.17,7.5982,2.227738
468860,117215,5e-6,1.013277,2.7546,6569.59,7.6186,2.990822
468870,117217,5e-6,0.928838,2.5316,5981.33,8.6242,2.748419
468880,117220,5e-6,0.790676,2.2049,13834.25,8.8385,2.423607
468890,117222,5e-6,1.130958,3.0986,12458.81,7.7593,4.452310
468900,117225,5e-6,0.846113,2.3306,7369.24,7.7269,2.391397
468910,117227,5e-6,0.824712,2.2812,9364.98,9.7023,2.354216
468920,117230,5e-6,0.900760,2.4615,12484.90,9.2965,2.550790
468930,117232,5e-6,0.971368,2.6416,10796.64,8.3667,2.836174
468940,117235,5e-6,0.905562,2.4733,6633.77,7.8586,2.633491
468950,117237,5e-6,1.188137,3.2810,5657.47,9.0803,4.428617
468960,117240,5e-6,0.800744,2.2272,11354.30,7.4009,2.310046
468970,117242,5e-6,0.907093,2.4771,7052.36,7.7055,2.607793
468980,117245,5e-6,0.894595,2.4463,7252.14,9.6394,2.521436
468990,117247,5e-6,1.144711,3.1415,8674.73,7.9128,4.084423
469000,117250,5e-6,0.803894,2.2342,11122.81,7.0194,2.318927
469010,117252,5e-6,1.015813,2.7616,9978.73,7.9507,2.890214
469020,117255,5e-6,0.934139,2.5450,12159.65,7.4955,2.626223
469030,117257,5e-6,0.704096,2.0220,11520.07,8.2390,2.171336
469040,117260,5e-6,1.012171,2.7516,11939.79,8.6564,3.161748
469050,117262,5e-6,0.929895,2.5342,10347.47,8.3065,3.223521
469060,117265,5e-6,0.822113,2.2753,9337.55,8.4706,2.494166
469070,117267,5e-6,0.846178,2.3307,6881.44,8.5496,2.571697
469080,117270,5e-6,0.913280,2.4925,11946.95,8.2582,2.687065
469090,117272,5e-6,1.136862,3.1170,7889.98,8.9433,3.382495
469100,117275,5e-6,0.886644,2.4270,7564.54,7.7337,2.579128
469110,117277,5e-6,1.025499,2.7885,11901.13,7.7603,2.964797
469120,117280,5e-6,0.925233,2.5225,10037.10,9.2163,3.029652
469130,117282,5e-6,0.947404,2.5790,5876.45,8.0020,3.384509
469140,117285,5e-6,0.944168,2.5707,5616.10,8.4423,2.820566
469150,117287,5e-6,1.118751,3.0610,6776.11,7.6824,3.916248
469160,117290,5e-6,0.849535,2.3386,6549.83,7.8629,2.433444
469170,117292,5e-6,0.840158,2.3167,10582.81,7.8528,2.415835
469180,117295,5e-6,0.943422,2.5688,6797.77,7.4768,2.934613
469190,117297,5e-6,0.683592,1.9810,9900.81,7.2242,2.022711
469200,117300,5e-6,0.910137,2.4847,10268.30,8.3689,3.028505
469210,117302,5e-6,0.780786,2.1832,7506.15,7.7671,2.205175
469220,117305,5e-6,0.724885,2.0645,9284.32,7.1183,2.131640
469230,117307,5e-6,0.843183,2.3238,8009.92,7.5332,2.450317
469240,117310,5e-6,1.070847,2.9179,8206.84,9.4531,3.510234
469250,117312,5e-6,0.950260,2.5864,6228.32,8.1039,2.668260
469260,117315,5e-6,1.075464,2.9314,11414.25,7.7282,5.561200
469270,117317,5e-6,0.806586,2.2402,9759.46,7.2734,2.299259
469280,117320,5e-6,0.909437,2.4829,7167.23,7.4374,2.693461
469290,117322,5e-6,0.699064,2.0119,7546.77,7.8202,2.026856
469300,117325,5e-6,0.805914,2.2387,9754.06,7.5702,2.295449
469310,117327,5e-6,0.721664,2.0579,8093.77,8.9853,2.091833
469320,117330,5e-6,0.764379,2.1477,8881.06,7.7569,2.236522
469330,117332,5e-6,0.853065,2.3468,9509.68,7.6689,2.392597
469340,117335,5e-6,0.795377,2.2153,12166.67,7.5498,2.299194
469350,117337,5e-6,0.748787,2.1144,8707.83,7.9643,2.156253
469360,117340,5e-6,0.834521,2.3037,7782.79,7.5988,2.485153
469370,117342,5e-6,1.014951,2.7592,8535.65,8.4449,3.142461
469380,117345,5e-6,0.931700,2.5388,4022.01,8.3203,2.898645
469390,117347,5e-6,0.698676,2.0111,13983.23,7.0328,2.036028
469400,117350,5e-6,0.867339,2.3806,8135.04,8.5456,2.453014
469410,117352,5e-6,0.918830,2.5064,6639.08,8.8729,2.853857
469420,117355,5e-6,0.860740,2.3649,9018.23,7.3712,2.658626
469430,117357,5e-6,0.904409,2.4705,9886.47,7.3043,2.724581
469440,117360,5e-6,0.830947,2.2955,7845.79,7.9624,2.360695
469450,117362,5e-6,0.916968,2.5017,7390.57,7.8882,2.689263
469460,117365,5e-6,0.853422,2.3477,9517.28,8.2367,2.565402
469470,117367,5e-6,0.963173,2.6200,9348.81,7.6414,3.300057
469480,117370,5e-6,0.861434,2.3666,10533.06,8.1390,2.450128
469490,117372,5e-6,0.748682,2.1142,10143.41,8.6615,2.170527
469500,117375,5e-6,0.867871,2.3818,10035.65,8.0701,2.432098
469510,117377,5e-6,0.788697,2.2005,6611.38,8.2461,2.321289
469520,117380,5e-6,1.011402,2.7495,9081.76,8.1965,2.991974
469530,117382,5e-6,0.838720,2.3134,6173.27,8.7264,2.381769
469540,117385,5e-6,0.732796,2.0809,11064.93,8.7915,2.146654
469550,117387,5e-6,1.002108,2.7240,10773.63,8.4798,3.857143
469560,117390,5e-6,0.891106,2.4378,9168.06,7.3713,2.551568
469570,117392,5e-6,0.994770,2.7041,8825.47,8.3570,3.169325
469580,117395,5e-6,0.886848,2.4275,6337.48,7.9393,2.582631
469590,117397,5e-6,0.900179,2.4600,13959.62,7.5227,3.329503
469600,117400,5e-6,0.720621,2.0557,10552.16,7.6689,2.125675
469610,117402,5e-6,0.885727,2.4247,9835.74,8.0691,2.648286
469620,117405,5e-6,0.925654,2.5235,6055.15,8.2585,2.702553
469630,117407,5e-6,0.828209,2.2892,8960.11,8.9079,2.505065
469640,117410,5e-6,0.916670,2.5009,7328.84,8.0853,2.628987
469650,117412,5e-6,0.759785,2.1378,7224.26,7.8665,2.196988
469660,117415,5e-6,0.874835,2.3985,7459.54,7.6462,2.671534
469670,117417,5e-6,0.814310,2.2576,7461.07,7.6006,2.441781
469680,117420,5e-6,0.695028,2.0038,9777.61,8.6927,2.045768
469690,117422,5e-6,0.961871,2.6166,12662.65,8.9387,2.938461
469700,117425,5e-6,1.172264,3.2293,10197.38,8.5437,4.292729
469710,117427,5e-6,1.049496,2.8562,11019.47,7.9723,3.311918
469720,117430,5e-6,0.740305,2.0966,9668.55,7.4340,2.154855
469730,117432,5e-6,0.982170,2.6702,7461.49,7.8172,3.512737
469740,117435,5e-6,0.884613,2.4220,7734.94,7.6394,2.551420
469750,117437,5e-6,1.095993,2.9922,11170.16,8.0246,3.381764
469760,117440,5e-6,0.981916,2.6696,11587.23,8.8839,2.971029
469770,117442,5e-6,0.784885,2.1922,7756.21,7.2520,2.227991
469780,117445,5e-6,0.873211,2.3946,10315.84,8.2747,2.492774
469790,117447,5e-6,0.893349,2.4433,7819.48,8.3010,2.814504
469800,117450,5e-6,0.986012,2.6805,6784.49,8.4827,3.335929
469810,117452,5e-6,0.978244,2.6598,11504.38,7.7667,2.792120
469820,117455,5e-6,1.209359,3.3513,9792.07,8.2230,5.734328
469830,117457,5e-6,0.885002,2.4230,9452.26,7.5772,3.304848
469840,117460,5e-6,0.680153,1.9742,7659.08,8.6395,1.997550
469850,117462,5e-6,0.720489,2.0554,8003.96,7.9806,2.072815
469860,117465,5e-6,0.790923,2.2054,7974.04,8.4809,2.240424
469870,117467,5e-6,0.993562,2.7008,5187.19,9.7462,3.120918
469880,117470,5e-6,0.843718,2.3250,6382.07,8.2892,2.389374
469890,117472,5e-6,0.767886,2.1552,8554.67,9.3271,2.306388
469900,117475,5e-6,0.759034,2.1362,12691.77,7.6324,2.174360
469910,117477,5e-6,1.066017,2.9038,10804.29,7.6007,3.645097
469920,117480,5e-6,1.050224,2.8583,6835.82,8.7085,3.759814
469930,117482,5e-6,1.020149,2.7736,13434.69,8.8733,4.626724
469940,117485,5e-6,0.814021,2.2570,9181.92,8.5460,2.363518
469950,117487,5e-6,0.782421,2.1868,5052.96,8.6555,2.238869
469960,117490,5e-6,0.764272,2.1474,6481.02,8.6324,2.264631
469970,117492,5e-6,0.867391,2.3807,10320.64,8.1145,2.502035
469980,117495,5e-6,0.816748,2.2631,9948.75,7.5586,2.319301
469990,117497,5e-6,0.982898,2.6722,6511.80,9.3234,3.664589
470000,117500,5e-6,0.985415,2.6789,7592.20,7.6641,2.918111
470010,117502,5e-6,0.904039,2.4696,9098.09,7.2921,2.572720
470020,117505,5e-6,0.850959,2.3419,6841.80,7.7706,2.417231
